Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
5.414750750000001, 1, 0, 0, 1, 1, 1, 1, 1
5.414755541666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414760083333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414765000000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414765291666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414770166666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414775000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.414775416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414780083333333, 1, 1, 1, 1, 1, 1, 1, 1
5.414785000000000, 1, 1, 0, 1, 1, 1, 1, 1
5.414790125000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414795000000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414795333333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414800166666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414805000000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414805416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414810125000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414815041666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414815333333333, 1, 0, 0, 1, 1, 1, 1, 1
5.414820208333333, 1, 0, 1, 1, 1, 1, 1, 1
5.414825041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414830208333334, 1, 0, 1, 1, 1, 1, 1, 1
5.414835041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414835458333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414837958333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414840166666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414845041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414846750000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414850500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414855416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414860250000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414865416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414870250000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414875416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414880250000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414885416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414890250000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414895416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414900250000001, 1, 0, 0, 1, 1, 1, 1, 1
5.414900666666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414905375000000, 1, 1, 1, 1, 1, 1, 1, 1
5.414910291666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414915375000001, 1, 1, 1, 1, 1, 1, 1, 1
5.414920291666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414925375000000, 1, 1, 1, 1, 1, 1, 1, 1
